skingoal_healthy,skingoal_glowing,skingoal_clear,skingoal_hydrated,skingoal_protected,skingoal_balanced,skingoal_repaired,skingoal_calm,skingoal_bright,skingoal_rejuvenated,skingoal_restored,skinconcern_agingskin,skinconcern_acne,skinconcern_dryskin,skinconcern_firmnesselasticity,skinconcern_pigmentation,skinconcern_sensitivity,skintype,skinafterwash,tzoneoily,cloggedpores,fitzpatrick,gender,ethnicity,age,pregnant,vegan,currentproducts_cleanser,currentproducts_serum,currentproducts_eyecream,currentproducts_dailymoisturizer,currentproducts_spf,currentproducts_nightcream,getmatched
0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashshiny,tzoneoilysometimes,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganyes,1,0,1,1,1,1,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporessometimes,fitzpatrick6,gendermale,ethnicityafricanamerican,age2534,,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporessometimes,fitzpatrick6,gendermale,ethnicityafricanamerican,age2534,,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporessometimes,fitzpatrick6,gendermale,ethnicityafricanamerican,age2534,,veganno,1,1,0,1,0,0,getmatched_dailymoisturizer
0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypedry,skinafterwashnotsure,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,0,0,0,0,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashhydrated,tzoneoilysometimes,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashhydrated,tzoneoilysometimes,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,0,getmatched_eyecream
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashhydrated,tzoneoilysometimes,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypedry,skinafterwashhydrated,tzoneoilysometimes,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,0,getmatched_cleanser
0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,skintypecombination,skinafterwashhydrated,tzoneoilyalways,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,0,1,getmatched_serum
0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesnever,fitzpatrick6,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,0,1,1,0,0,0,getmatched_eyecream
0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesnever,fitzpatrick6,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,0,1,1,0,0,0,getmatched_eyecream
0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilynever,cloggedporesnever,fitzpatrick6,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,0,1,1,0,0,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick6,genderfemale,ethnicityhispanic,age1824,pregnantno,veganno,0,1,1,1,1,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporesalways,fitzpatrick3,genderfemale,ethnicityhispanic,age1824,pregnantno,veganyes,1,0,0,1,0,0,getmatched_serum
1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporesalways,fitzpatrick3,genderfemale,ethnicityhispanic,age1824,pregnantno,veganyes,1,0,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,0,0,getmatched_cleanser
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,0,0,getmatched_dailymoisturizer
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_eyecream
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age3544,pregnantyes,veganno,1,0,1,0,1,1,getmatched_dailymoisturizer
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicitycaucasian,age3544,pregnantyes,veganno,1,0,1,0,1,1,getmatched_cleanser
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_nightcream
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_dailymoisturizer
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_eyecream
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_cleanser
1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_eyecream
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_eyecream
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_dailymoisturizer
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypedry,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_nightcream
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,0,0,0,0,0,1,getmatched_dailymoisturizer
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicityafricanamerican,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_cleanser
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_serum
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_nightcream
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_nightcream
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_dailymoisturizer
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_dailymoisturizer
1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypenormal,skinafterwashhydrated,tzoneoilynever,cloggedporesnever,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,0,1,0,1,getmatched_dailymoisturizer
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesalways,,,,,,,0,0,0,0,0,0,
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypeoily,skinafterwashrough,tzoneoilynotsure,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,0,1,1,1,0,0,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_dailymoisturizer
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_eyecream
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick3,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,1,1,1,1,getmatched_cleanser
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_nightcream
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_dailymoisturizer
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_serum
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_serum
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashshiny,tzoneoilysometimes,cloggedporesrarely,fitzpatrick5,genderfemale,ethnicityhispanic,age4554,pregnantno,veganyes,1,1,1,1,1,1,getmatched_cleanser
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilyfrequently,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganyes,1,1,0,1,0,0,getmatched_serum
0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,skintypecombination,,,,,,,,,,0,0,0,0,0,0,
1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,1,1,1,0,1,getmatched_serum
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypenormal,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick2,gendernonbinary,ethnicityasian,age3544,,veganno,0,1,1,1,0,0,getmatched_nightcream
0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypenormal,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick2,gendernonbinary,ethnicityasian,age3544,,veganno,0,1,1,1,0,0,getmatched_dailymoisturizer
0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,skintypedry,skinafterwashtight,tzoneoilysometimes,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,0,0,1,1,0,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashhydrated,tzoneoilyfrequently,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,1,1,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashhydrated,tzoneoilyfrequently,cloggedporesalways,fitzpatrick2,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,1,1,1,1,1,getmatched_cleanser
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashhydrated,tzoneoilysometimes,cloggedporessometimes,fitzpatrick4,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,1,1,getmatched_serum
0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,skintypedry,skinafterwashnotsure,tzoneoilynotsure,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicityhispanic,age4554,pregnantno,veganno,1,0,0,0,0,0,getmatched_nightcream
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,skintypeoily,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,0,0,1,0,0,getmatched_nightcream
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,skintypeoily,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,0,0,1,0,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,,,,,,,,,,,0,0,0,0,0,0,
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,0,0,getmatched_dailymoisturizer
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,0,0,getmatched_eyecream
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,0,0,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,0,0,getmatched_cleanser
0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,skintypecombination,skinafterwashshiny,tzoneoilyfrequently,cloggedporesalways,fitzpatrick4,genderfemale,ethnicitycaucasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_serum
0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,0,1,getmatched_serum
0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,0,1,getmatched_serum
0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,skintypecombination,skinafterwashtight,tzoneoilyalways,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,1,1,0,1,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,skintypedry,skinafterwashrough,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick1,genderfemale,ethnicityasian,age2534,pregnantno,veganno,1,0,0,0,0,0,getmatched_cleanser
1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,skintypenormal,skinafterwashnotsure,tzoneoilynever,cloggedporesrarely,fitzpatrick3,genderfemale,ethnicitycaucasian,age4554,pregnantno,veganno,1,0,1,1,0,1,getmatched_cleanser
0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,skintypeoily,skinafterwashnotsure,tzoneoilyalways,cloggedporessometimes,fitzpatrick3,gendermale,ethnicitycaucasian,age1824,,veganno,1,1,0,0,0,0,getmatched_serum
1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,skintypeoily,skinafterwashshiny,tzoneoilyfrequently,cloggedporesalways,fitzpatrick5,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,0,1,0,1,getmatched_serum
1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,skintypecombination,skinafterwashtight,tzoneoilysometimes,cloggedporesalways,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,0,0,0,0,0,getmatched_cleanser
1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,skintypecombination,skinafterwashnotsure,tzoneoilyalways,cloggedporessometimes,fitzpatrick5,genderfemale,ethnicityasian,age1824,pregnantno,veganno,1,0,0,1,1,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashrough,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,0,0,0,0,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashrough,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,0,0,0,0,0,getmatched_dailymoisturizer
1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,skintypecombination,skinafterwashrough,tzoneoilyfrequently,cloggedporesrarely,fitzpatrick1,genderfemale,ethnicityafricanamerican,age1824,pregnantno,veganyes,1,0,0,0,0,0,getmatched_cleanser
1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,skintypenotsure,skinafterwashnotsure,tzoneoilyfrequently,cloggedporessometimes,fitzpatrick2,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,0,0,0,0,0,getmatched_cleanser
1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,skintypedry,skinafterwashrough,tzoneoilysometimes,cloggedporesnever,fitzpatrick1,genderfemale,ethnicitycaucasian,age2534,pregnantno,veganno,1,1,0,1,1,1,getmatched_cleanser
0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,skintypenormal,skinafterwashtight,tzoneoilysometimes,cloggedporesrarely,fitzpatrick2,genderfemale,ethnicitycaucasian,age3544,pregnantno,veganno,1,1,0,1,0,1,getmatched_cleanser
